Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,831.9000244140625,850.0,830.3499755859375,845.6500244140625,837.131103515625,3501695
2022-01-04,850.0,853.7000122070312,843.2999877929688,848.0499877929688,839.5068969726562,2496924
2022-01-05,845.0,847.0999755859375,828.0,840.5999755859375,832.1318359375,3312721
2022-01-06,825.0,847.9000244140625,825.0,843.25,834.7552490234375,2842824
2022-01-07,843.25,888.0,842.4500122070312,860.9500122070312,852.2769165039062,12254034
2022-01-10,862.5,878.75,862.5,873.4500122070312,864.6510620117188,4778546
2022-01-11,875.0,883.0,859.1500244140625,862.4000244140625,853.7123413085938,3257687
2022-01-12,868.7999877929688,869.4000244140625,848.25,861.25,852.5739135742188,3419540
2022-01-13,861.25,874.0,853.0499877929688,868.1500244140625,859.4044189453125,3384510
2022-01-14,863.9000244140625,908.0,856.7000122070312,902.7000122070312,893.6063232421875,14072932
2022-01-17,910.0,918.6500244140625,891.25,897.3499755859375,888.3102416992188,6834869
2022-01-18,899.9000244140625,904.2000122070312,855.9000244140625,861.0999755859375,852.4253540039062,5857768
2022-01-19,863.5,877.9500122070312,850.2999877929688,875.9500122070312,867.1258544921875,4437914
2022-01-20,875.75,885.0,865.6500244140625,880.4000244140625,871.531005859375,3262969
2022-01-21,873.0,881.0,855.0,861.7000122070312,853.0193481445312,3915909
2022-01-24,859.5,860.1500244140625,805.0,809.7999877929688,801.6422119140625,7654105
2022-01-25,809.0,833.0,784.7999877929688,829.9000244140625,821.5397338867188,5090144
2022-01-27,818.5999755859375,824.4000244140625,803.0,813.7999877929688,805.6018676757812,4740612
2022-01-28,825.75,860.0,817.0,844.5999755859375,836.091552734375,5541007
2022-01-31,855.0,880.9500122070312,849.5999755859375,868.0,859.2559204101562,4650001
2022-02-01,894.5999755859375,899.9000244140625,848.5999755859375,856.9000244140625,848.2677612304688,11012459
2022-02-02,863.0,868.0,857.0,860.9000244140625,852.2274169921875,2531086
2022-02-03,860.5,871.8499755859375,857.0,860.6500244140625,851.97998046875,2603770
2022-02-04,861.0,865.5,851.25,855.75,847.1292724609375,2105561
2022-02-07,858.75,868.5499877929688,830.0,835.5999755859375,827.1823120117188,4119747
2022-02-08,842.5,848.5999755859375,821.5,838.0499877929688,829.6076049804688,3851680
2022-02-09,859.0,868.4000244140625,845.0999755859375,849.9500122070312,841.3877563476562,6791815
2022-02-10,855.0,855.1500244140625,840.2999877929688,845.9000244140625,837.3785400390625,2569073
2022-02-11,835.5,841.9500122070312,825.0,830.75,822.381103515625,2582020
2022-02-14,819.5,819.9500122070312,792.3499755859375,798.3499755859375,790.3074951171875,4917765
2022-02-15,805.0,823.0,791.5,820.5,812.234375,4358562
2022-02-16,830.7999877929688,838.0,820.2000122070312,825.0,816.6891479492188,2883449
2022-02-17,829.9500122070312,834.0,820.0,821.8499755859375,815.5479125976562,2350333
2022-02-18,818.0,827.2999877929688,813.0499877929688,816.3499755859375,810.090087890625,1905006
2022-02-21,810.0,816.0,796.0,803.4000244140625,797.2393798828125,3000870
2022-02-22,781.0,799.3499755859375,780.0,789.5999755859375,783.545166015625,4301060
2022-02-23,799.9000244140625,819.0,795.0,814.3499755859375,808.1054077148438,4772916
2022-02-24,775.0,794.3499755859375,735.0,738.0499877929688,732.3904418945312,10021435
2022-02-25,770.0,803.5,768.0,800.0,793.865478515625,7097351
2022-02-28,780.2999877929688,812.0,780.2000122070312,809.3499755859375,803.1437377929688,4654745
2022-03-02,795.0,815.7999877929688,795.0,808.7999877929688,802.5979614257812,3010826
2022-03-03,822.0,822.0,796.8499755859375,799.6500244140625,793.5181884765625,2962409
2022-03-04,780.0,780.2000122070312,730.0,747.25,741.5198974609375,15395743
2022-03-07,740.0,740.0,708.4000244140625,718.0,712.4942626953125,6257302
2022-03-08,718.0,728.9500122070312,709.0499877929688,718.0499877929688,712.5438232421875,4872109
2022-03-09,730.9500122070312,738.5999755859375,719.0499877929688,735.0499877929688,729.4134521484375,4485413
2022-03-10,762.0,772.0,750.0,758.0999755859375,752.2867431640625,5542997
2022-03-11,754.2999877929688,765.0,748.0,757.75,751.9393920898438,2461743
2022-03-14,743.0,762.8499755859375,738.5499877929688,752.8499755859375,747.0770263671875,3574348
2022-03-15,759.0,769.9000244140625,751.0499877929688,756.4000244140625,750.5997924804688,3053279
2022-03-16,768.0,773.5999755859375,764.4000244140625,768.25,762.35888671875,2456680
2022-03-17,776.25,779.5999755859375,767.1500244140625,770.4500122070312,764.5420532226562,2471381
2022-03-21,773.0499877929688,782.7000122070312,768.0,770.75,764.8397216796875,2165538
2022-03-22,774.0,774.0,752.0999755859375,765.7999877929688,759.9276733398438,2670547
2022-03-23,772.0,785.5999755859375,763.0,766.4500122070312,760.57275390625,3000265
2022-03-24,766.4000244140625,779.4000244140625,760.2999877929688,772.5,766.5763549804688,1803315
2022-03-25,779.0,779.25,768.0,770.0499877929688,764.1451416015625,1756340
2022-03-28,771.0,776.9500122070312,758.5999755859375,766.25,760.374267578125,2500762
2022-03-29,769.0,775.75,766.0,767.5999755859375,761.7138671875,2496305
2022-03-30,773.0,795.0,769.0,789.5499877929688,783.4955444335938,5002096
2022-03-31,791.0499877929688,792.75,773.0,774.7000122070312,768.7594604492188,2496423
2022-04-01,777.0,802.6500244140625,775.5499877929688,798.2000122070312,792.0792236328125,4160527
2022-04-04,803.9500122070312,837.7000122070312,803.0,832.7000122070312,826.314697265625,5650502
2022-04-05,840.8499755859375,840.9500122070312,819.4500122070312,822.3499755859375,816.0440063476562,3480544
2022-04-06,820.0,828.9500122070312,787.75,791.9500122070312,785.877197265625,5400080
2022-04-07,795.8499755859375,801.0,784.0,787.75,781.7094116210938,3337181
2022-04-08,791.8499755859375,799.7999877929688,789.0499877929688,790.3499755859375,784.2894287109375,1715933
2022-04-11,790.3499755859375,809.0,790.3499755859375,801.4000244140625,795.2547607421875,2482781
2022-04-12,801.4000244140625,801.9500122070312,776.4000244140625,783.5999755859375,777.5911865234375,2743228
2022-04-13,790.0,793.7000122070312,778.0,780.2999877929688,774.3165283203125,1501647
2022-04-18,778.0,778.0,757.2999877929688,767.2000122070312,761.3169555664062,2339997
2022-04-19,771.0499877929688,778.0,745.2999877929688,752.75,746.9777221679688,2121322
2022-04-20,755.0,761.5,742.8499755859375,747.5999755859375,741.8672485351562,2149320
2022-04-21,757.7999877929688,761.2999877929688,751.1500244140625,759.6500244140625,753.8248901367188,1365751
2022-04-22,751.25,766.0,751.0,755.2000122070312,749.4089965820312,1361764
2022-04-25,745.0,754.4500122070312,740.0,745.5999755859375,739.882568359375,1579619
2022-04-26,749.0,762.7999877929688,749.0,761.0499877929688,755.214111328125,1581369
2022-04-27,755.0,758.5499877929688,742.0999755859375,748.5,742.7603759765625,1666186
2022-04-28,756.7000122070312,761.0,744.0999755859375,757.4000244140625,751.5921020507812,1902979
