Date,Open,High,Low,Close,Adj Close,Volume,EMA-200,EMA-100,EMA-50,EMA-21,EMA-5,MACD,macdEMA,macdHistory,RSI-14,Brent_Crude_Price,USD_INR_Exchange_Rate,FTSE_Index,Dow_Index,Hang_Seng_Index,India_Vix
2009-01-02,3034.60009765625,3079.85009765625,3021.800048828125,3046.75,3046.75,0,4011.815439607265,3401.5333913568943,3050.9560377393655,2935.980314556969,2983.289215643142,21.060396010008844,7.767978869442592,13.292417140566252,56.29950429008649,46.90999984741211,48.244998931884766,4561.7998046875,9034.6904296875,15042.8095703125,39.189998626708984
2009-01-05,3058.75,3131.949951171875,3056.449951171875,3121.449951171875,3121.449951171875,0,4002.9560815133805,3395.9871846205574,3053.720504932797,2952.8411906128695,3029.3427941527198,32.49388647567912,12.713160390689897,19.780726084989222,59.81276099696555,49.619998931884766,48.229000091552734,4579.60009765625,8952.8896484375,15563.3095703125,39.08000183105469
2009-01-06,3121.5,3141.800048828125,3056.10009765625,3112.800048828125,3112.800048828125,0,3994.098807556313,3390.3795185652616,3056.0373497914375,2967.3829049960746,3057.1618790445214,40.39142797576915,18.248813907705745,22.142614068063402,59.21906971561251,50.529998779296875,48.505001068115234,4638.89990234375,9015.099609375,15509.509765625,38.560001373291016
2009-01-07,3112.800048828125,3147.199951171875,2888.199951171875,2920.39990234375,2920.39990234375,0,3983.4152363601684,3381.07299151137,3050.718234205254,2963.1117229367724,3011.5745534775974,30.77049948306012,20.75315102277662,10.0173484602835,47.843595545399786,45.86000061035156,48.55099868774414,4507.5,8769.7001953125,14987.4599609375,43.38999938964844
2009-01-09,2919.949951171875,2929.85009765625,2810.25,2873.0,2873.0,0,3972.3663285356893,3371.0121401943134,3043.748891687401,2954.9197481243386,2965.3830356517315,19.100885240746265,20.422697866370548,-1.3218126256242826,45.52352829087939,44.41999816894531,48.46799850463867,4448.5,8599.1796875,14377.4404296875,42.81999969482422
2009-01-12,2868.85009765625,2869.199951171875,2748.550048828125,2773.10009765625,2773.10009765625,0,3960.433331213506,3359.172297767817,3033.135213490101,2938.3906889908762,2901.288722986571,1.771128194523044,16.692383932001047,-14.921255737478003,41.00978780122278,42.90999984741211,48.492000579833984,4426.2001953125,8473.9697265625,13971.0,45.84000015258789
2009-01-13,2775.0,2802.60009765625,2720.800048828125,2744.949951171875,2744.949951171875,0,3948.338969223042,3347.009479023343,3021.833830654092,2920.805167370967,2849.175799048339,-14.072096312747362,10.539487883051365,-24.611584195798727,39.81190612415561,44.83000183105469,48.869998931884766,4399.2001953125,8448.5595703125,13668.0498046875,43.27000045776367
2009-01-14,2748.39990234375,2853.25,2748.39990234375,2835.300048828125,2835.300048828125,0,3937.2639550897593,3336.8766190194774,3014.518780386407,2913.031974776163,2844.5505489749344,-19.117098078768322,4.608170690687427,-23.72526876945575,45.33137399048953,45.08000183105469,48.650001525878906,4180.60009765625,8200.1396484375,13704.6103515625,49.13999938964844
2009-01-15,2832.300048828125,2832.300048828125,2701.75,2736.699951171875,2736.699951171875,0,3925.318044603014,3324.991932527446,3003.623924338778,2897.001790812137,2808.600349707248,-30.717410978243606,-2.4569456430987806,-28.260465335144826,40.921083956345136,,48.66999816894531,4121.10009765625,8212.490234375,13242.9599609375,51.0
2009-01-16,2737.0,2835.64990234375,2724.199951171875,2828.449951171875,2828.449951171875,0,3914.4039342206147,3315.1594180451575,2996.7543567636053,2890.769805390295,2815.2168835287903,-32.13683093107147,-8.392922700693319,-23.743908230378153,46.16930002454049,46.56999969482422,48.643001556396484,4147.10009765625,8281.2197265625,13255.509765625,46.11000061035156
