Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
240,Sonata Software Limited,SONATSOFTW,P&F | F.A,-3%,605.9,"1,46,229"
120,Multi Commodity Exchange Of India Limited,MCX,P&F | F.A,-3%,1498.1,"1,22,214"
199,Relaxo Footwears Limited,RELAXO,P&F | F.A,-2.8%,810.3,"4,74,909"
457,Lemon Tree Hotels Ltd,LEMONTREE,P&F | F.A,-2.8%,72.85,"25,04,694"
16,Blue Dart Express Limited,BLUEDART,P&F | F.A,-3%,6557.8,"67,252"
422,Aditya Birla Capital Ltd,ABCAPITAL,P&F | F.A,-3%,135.7,"31,37,504"
466,Ircon International Ltd,IRCON,P&F | F.A,-3%,56.55,"64,23,078"
175,Muthoot Finance Limited,MUTHOOTFIN,P&F | F.A,-3%,1010.15,"5,77,350"
344,Bharat Petroleum Corporation Limited,BPCL,P&F | F.A,-3%,336.55,"26,25,951"
154,Trent Limited,TRENT,P&F | F.A,-3%,1176.3,"13,68,360"
47,Craftsman Automation Ltd,CRAFTSMAN,P&F | F.A,-3%,3217.25,"82,048"
260,Pnb Housing Finance Limited,PNBHOUSING,P&F | F.A,-3%,533.5,"9,61,470"
182,Birla Corporation Limited,BIRLACORPN,P&F | F.A,-3%,902.5,"1,02,193"
296,Sun Tv Network Limited,SUNTV,P&F | F.A,-3%,452.4,"6,00,444"
478,RattanIndia Enterprises Ltd,RTNINDIA,P&F | F.A,-3%,42.3,"15,06,587"
126,Beml Limited,BEML,P&F | F.A,-3%,1448.2,"55,593"
221,Vip Industries Limited,VIPIND,P&F | F.A,-3%,702.05,"2,28,865"
464,Network18 Media & Investments Limited,NETWORK18,P&F | F.A,-3%,59.05,"8,63,147"
471,Idbi Bank Limited,IDBI,P&F | F.A,-3%,51.05,"1,04,11,654"
300,Jindal Stainless (hisar) Limited,JSLHISAR,P&F | F.A,-3%,445.3,"3,38,987"
156,Data Patterns (India) Ltd,DATAPATTNS,P&F | F.A,-3%,1163.4,"1,05,026"
256,Can Fin Homes Limited,CANFINHOME,P&F | F.A,-3%,539.7,"5,97,972"
427,Hindustan Copper Limited,HINDCOPPER,P&F | F.A,-3%,123.45,"44,01,500"
404,Usha Martin Limited,USHAMART,P&F | F.A,-3%,180.25,"23,90,974"
251,Hindustan Foods Ltd,HNDFDS,P&F | F.A,-3%,567.5,"18,990"
419,Oil & Natural Gas Corporation Limited,ONGC,P&F | F.A,-3%,147.65,"1,30,52,535"
492,Brightcom Group Ltd,BCG,P&F | F.A,-3%,26.1,"88,38,954"
205,Metro Brands Ltd,METROBRAND,P&F | F.A,-3%,773.8,"6,79,119"
304,Chemplast Sanmar Ltd,CHEMPLASTS,P&F | F.A,-3.2%,432,"1,13,241"
265,Tejas Networks,TEJASNET,P&F | F.A,-3%,518.55,"3,49,242"
267,Ccl Products (india) Limited,CCL,P&F | F.A,-3%,516.4,"1,20,244"
338,Hindustan Zinc Limited,HINDZINC,P&F | F.A,-3%,346.35,"13,06,217"
87,Tata Investment Corporation Limited,TATAINVEST,P&F | F.A,-3%,2114.1,"39,833"
270,BSE (Bombay stock exchange),BSE,P&F | F.A,-3%,512.85,"4,69,971"
325,Avanti Feeds Limited,AVANTIFEED,P&F | F.A,-3%,377.3,"97,269"
52,Hitachi Energy India Ltd,POWERINDIA,P&F | F.A,-3.3%,3018.55,"18,341"
408,Bls International Services Limited,BLS,P&F | F.A,-3%,168.15,"10,53,554"
306,Aditya Birla Sun Life AMC Ltd,ABSLAMC,P&F | F.A,-3%,427.3,"50,078"
365,Indian Bank,INDIANB,P&F | F.A,-3%,282.35,"18,02,029"
150,Route Mobile Ltd,ROUTE,P&F | F.A,-3%,1204.95,"6,33,503"
227,Life Insurance Corporation of India,LICI,P&F | F.A,-3.4%,665.95,"17,36,675"
441,Prism Johnson Ltd,PRSMJOHNSN,P&F | F.A,-3%,100.7,"4,37,286"
161,Indusind Bank Limited,INDUSINDBK,P&F | F.A,-3%,1116.4,"47,81,085"
291,Iifl Holdings Limited,IIFL,P&F | F.A,-3%,460.55,"5,94,901"
