Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
89,Mphasis Limited,MPHASIS,P&F | F.A,0%,2072.4,"4,53,614"
329,Balrampur Chini Mills Limited,BALRAMCHIN,P&F | F.A,0%,364.05,"13,44,236"
141,Glaxosmithkline Pharmaceuticals Limited,GLAXO,P&F | F.A,0%,1263,"1,70,225"
13,Atul Limited,ATUL,P&F | F.A,0%,6997.7,"26,600"
2,Page Industries Limited,PAGEIND,P&F | F.A,0%,39871.75,"30,613"
371,Sterling & Wilson Renewable Energy Ltd,SWSOLAR,P&F | F.A,0%,271,"3,94,903"
169,Affle India Ltd,AFFLE,P&F | F.A,0%,1049.7,"1,75,771"
229,Shoppers Stop Limited,SHOPERSTOP,P&F | F.A,0%,654.65,"49,659"
218,Westlife Development Ltd,WESTLIFE,P&F | F.A,0%,712.75,"1,23,290"
137,Bajaj Finserv Limited,BAJAJFINSV,P&F | F.A,0%,1314.2,"18,29,556"
393,Power Grid Corporation Of India Limited,POWERGRID,P&F | F.A,0%,219.25,"78,43,953"
82,Sundaram Finance Limited,SUNDARMFIN,P&F | F.A,0%,2246.7,"8,649"
10,Lakshmi Machine Works Limited,LAXMIMACH,P&F | F.A,0%,11103.95,"4,507"
7,Nestle India Limited,NESTLEIND,P&F | F.A,-0.1%,19216.35,"44,777"
250,Sobha Limited,SOBHA,P&F | F.A,-0.1%,575.3,"93,234"
282,Garden Reach Shipbuilders & Engineers Ltd,GRSE,P&F | F.A,-0.1%,486.9,"4,82,475"
342,Laurus Labs Limited,LAURUSLABS,P&F | F.A,-0.1%,341.85,"10,75,642"
147,G R Infraprojects Ltd,GRINFRA,P&F | F.A,0%,1234.05,"30,117"
39,Navin Fluorine International Limited,NAVINFLUOR,P&F | F.A,0%,3816.5,"61,151"
132,Cummins India Limited,CUMMINSIND,P&F | F.A,0%,1382.15,"3,44,156"
354,Delhivery Ltd,DELHIVERY,P&F | F.A,0%,306.05,"30,77,575"
8,Bosch Limited,BOSCHLTD,P&F | F.A,0%,16696.1,"14,922"
192,Coromandel International Limited,COROMANDEL,P&F | F.A,0%,854.1,"2,63,739"
29,Britannia Industries Limited,BRITANNIA,P&F | F.A,0%,4380.4,"3,40,484"
36,Procter & Gamble Health Ltd,PGHL,P&F | F.A,0%,4042.9,"4,278"
206,United Spirits Limited,MCDOWELL-N,P&F | F.A,0%,767.15,"40,73,654"
345,Rites Ltd,RITES,P&F | F.A,0%,335.8,"3,98,638"
424,The Federal Bank  Limited,FEDERALBNK,P&F | F.A,0%,132,"1,34,46,595"
11,ZF Commercial Vehicle Control System India Ltd,ZFCVINDIA,P&F | F.A,0%,8981.75,"3,109"
253,Dabur India Limited,DABUR,P&F | F.A,0%,562.05,"13,73,950"
37,Pfizer Limited,PFIZER,P&F | F.A,0%,4001.55,"9,503"
83,Akzo Nobel India Limited,AKZOINDIA,P&F | F.A,0%,2241.55,"6,739"
224,Caplin Point Laboratories Limited,CAPLIPOINT,P&F | F.A,0%,685.5,"37,656"
183,Hatsun Agro Product Limited,HATSUN,P&F | F.A,0%,887.5,"25,842"
204,Bharti Airtel Limited,BHARTIARTL,P&F | F.A,0%,774.5,"67,45,926"
217,Rainbow Childrens Medicare Ltd,RAINBOW,P&F | F.A,0%,717.1,"2,88,925"
290,Kec International Limited,KEC,P&F | F.A,0%,464.55,"2,76,648"
381,Nippon Life India Asset Management Ltd,NAM-INDIA,P&F | F.A,0%,241.1,"2,54,209"
468,Equitas Small Finance Bank Ltd,EQUITASBNK,P&F | F.A,0%,54.65,"21,91,058"
292,Sumitomo Chemical India Ltd,SUMICHEM,P&F | F.A,0%,458.5,"2,14,784"
128,Zydus Wellness Limited,ZYDUSWELL,P&F | F.A,0%,1443.85,"8,433"
254,Finolex Cables Limited,FINCABLES,P&F | F.A,0%,541.8,"1,18,122"
429,Tata Steel Limited,TATASTEEL,P&F | F.A,0%,120.65,"5,87,71,746"
127,Colgate Palmolive (india) Limited,COLPAL,P&F | F.A,-0.3%,1446.9,"6,78,893"
327,Latent View Analytics Ltd,LATENTVIEW,P&F | F.A,-0.3%,369.95,"4,61,981"
375,Jindal Stainless Limited,JSL,P&F | F.A,0%,257.05,"18,93,727"
214,Narayana Hrudayalaya Ltd.,NH,P&F | F.A,0%,721.8,"99,785"
271,Marico Limited,MARICO,P&F | F.A,0%,503.8,"10,00,075"
311,Aurobindo Pharma Limited,AUROPHARMA,P&F | F.A,0%,416.35,"14,07,633"
6,Abbott India Limited,ABBOTINDIA,P&F | F.A,0%,21212.15,"6,306"
179,Carborundum Universal Limited,CARBORUNIV,P&F | F.A,0%,938.2,"1,52,147"
24,Persistent Systems Limited,PERSISTENT,P&F | F.A,0%,4576.95,"7,52,871"
187,Dcm Shriram Limited,DCMSHRIRAM,P&F | F.A,0%,872,"21,640"
45,L&t Technology Services Limited,LTTS,P&F | F.A,0%,3296.4,"2,03,156"
68,Hindustan Unilever Limited,HINDUNILVR,P&F | F.A,0%,2612.15,"15,81,382"
312,Kansai Nerolac Paints Limited,KANSAINER,P&F | F.A,-0.4%,410.35,"1,91,515"
166,Go Fashion (India) Ltd,GOCOLORS,P&F | F.A,0%,1095.8,"68,312"
273,Star Health & Allied Insurance Company Ltd,STARHEALTH,P&F | F.A,0%,501.5,"1,82,753"
448,National Aluminium Company Limited,NATIONALUM,P&F | F.A,0%,82.3,"1,66,93,903"
159,ICICI Lombard General Insurance Company Ltd,ICICIGI,P&F | F.A,0%,1131.7,"5,00,248"
215,Jsw Steel Limited,JSWSTEEL,P&F | F.A,0%,721.35,"27,06,934"
4,3m India Limited,3MINDIA,P&F | F.A,0%,22600.5,"1,854"
308,Godrej Industries Limited,GODREJIND,P&F | F.A,0%,422.2,"91,133"
57,Garware Technical Fibres Ltd,GARFIBRES,P&F | F.A,0%,2864,"6,943"
20,Cera Sanitaryware Limited,CERA,P&F | F.A,0%,5426.95,"9,527"
373,Gujarat State Petronet Limited,GSPL,P&F | F.A,0%,265.4,"4,86,760"
12,Maruti Suzuki India Limited,MARUTI,P&F | F.A,-1%,8737.5,"7,43,546"
54,Pi Industries Limited,PIIND,P&F | F.A,-1%,2957.95,"2,56,366"
78,Galaxy Surfactants Ltd,GALAXYSURF,P&F | F.A,-1%,2319.2,"9,151"
42,Tata Consultancy Services Limited,TCS,P&F | F.A,-1%,3411.05,"17,85,879"
244,Anupam Rasayan India Ltd,ANURAS,P&F | F.A,-1%,596.5,"2,72,245"
133,Clean Science & Technology Ltd,CLEAN,P&F | F.A,-1%,1367.7,"37,526"
160,C.E. Info Systems Ltd,MAPMYINDIA,P&F | F.A,-1%,1121,"60,483"
143,SBI Life Insurance Company Ltd,SBILIFE,P&F | F.A,-1%,1250.25,"11,64,597"
178,Tata Chemicals Limited,TATACHEM,P&F | F.A,-1%,945,"6,48,243"
18,Bajaj Finance Limited,BAJFINANCE,P&F | F.A,-1%,5760.7,"16,21,352"
102,AAVAS Financiers Ltd,AAVAS,P&F | F.A,-1%,1890.1,"63,295"
333,Saregama India Limited,SAREGAMA,P&F | F.A,-1%,354.25,"2,48,738"
416,City Union Bank Limited,CUB,P&F | F.A,-1%,151.55,"24,25,844"
139,Hinduja Global Solutions Limited,HGS,P&F | F.A,-1%,1296.15,"33,085"
162,Hcl Technologies Limited,HCLTECH,P&F | F.A,-1%,1115.6,"38,64,525"
245,Five Star Business Finance Ltd,FIVESTAR,P&F | F.A,-1%,593.25,"73,100"
53,Alkem Laboratories Limited,ALKEM,P&F | F.A,-1%,3000.7,"42,885"
111,MTAR Technologies Ltd,MTARTECH,P&F | F.A,-1%,1658.05,"1,24,069"
213,TATA Consumer Products Ltd,TATACONSUM,P&F | F.A,-1%,735.25,"7,72,860"
40,Info Edge (india) Limited,NAUKRI,P&F | F.A,-1%,3643.85,"2,08,836"
104,Vinati Organics Limited,VINATIORGA,P&F | F.A,-1%,1847.75,"33,296"
356,CG Power and Industrial Solutions Ltd,CGPOWER,P&F | F.A,-1%,298.4,"33,39,589"
84,Larsen & Toubro Limited,LT,P&F | F.A,-1%,2159.85,"16,47,900"
211,Lupin Limited,LUPIN,P&F | F.A,-1%,742.1,"4,37,112"
281,Asahi India Glass Limited,ASAHIINDIA,P&F | F.A,-0.7%,490.45,"1,36,896"
28,LTI Mindtree Ltd,LTIM,P&F | F.A,-1%,4399.05,"4,49,822"
88,Interglobe Aviation Limited,INDIGO,P&F | F.A,-1%,2094.05,"6,31,918"
19,Sanofi India Limited,SANOFI,P&F | F.A,-1%,5585.95,"8,039"
105,Deepak Nitrite Limited,DEEPAKNTR,P&F | F.A,-1%,1823.85,"2,61,949"
428,Nmdc Limited,NMDC,P&F | F.A,-1%,122.95,"44,43,937"
44,Astrazeneca Pharma India Limited,ASTRAZEN,P&F | F.A,-1%,3369.55,"4,806"
202,Oberoi Realty Limited,OBEROIRLTY,P&F | F.A,-1%,802.25,"5,90,446"
297,Sona BLW Precision Forgings Ltd,SONACOMS,P&F | F.A,-1%,451.6,"21,39,821"
95,Astral Poly Technik Limited,ASTRAL,P&F | F.A,-1%,1963.3,"4,87,503"
23,Sundaram Clayton Limited,SUNCLAYLTD,P&F | F.A,-1%,4698.85,"35,484"
96,Grindwell Norton Limited,GRINDWELL,P&F | F.A,-1%,1953.95,"27,824"
181,Godrej Consumer Products Limited,GODREJCP,P&F | F.A,-1%,907.1,"10,47,819"
155,Havells India Limited,HAVELLS,P&F | F.A,-1%,1171.2,"5,05,303"
73,Basf India Limited,BASF,P&F | F.A,-1%,2584.8,"8,055"
151,Godrej Properties Limited,GODREJPROP,P&F | F.A,-1%,1186.45,"6,25,798"
140,Sapphire Foods India Ltd,SAPPHIRE,P&F | F.A,-1%,1285.95,"85,359"
191,Bharat Forge Limited,BHARATFORG,P&F | F.A,-1%,855.15,"13,91,478"
317,Wipro Limited,WIPRO,P&F | F.A,-1%,398.05,"37,05,067"
482,Mmtc Limited,MMTC,P&F | F.A,-1%,33.65,"11,04,000"
236,The Great Eastern Shipping Company Limited,GESHIP,P&F | F.A,-1%,626.95,"1,20,384"
22,Gillette India Limited,GILLETTE,P&F | F.A,-0.9%,4869.95,"2,165"
280,ICICI Securities Ltd,ISEC,P&F | F.A,-0.9%,490.7,"2,77,014"
90,Dr. Lal Path Labs Ltd.,LALPATHLAB,P&F | F.A,-1%,2050.45,"1,19,683"
81,Balaji Amines Limited,BALAMINES,P&F | F.A,-1%,2280.8,"56,681"
196,Rajesh Exports Limited,RAJESHEXPO,P&F | F.A,-1%,841.8,"1,87,046"
366,Aptus Value Housing Finance India Ltd,APTUS,P&F | F.A,-1%,280.75,"1,06,150"
321,Lic Housing Finance Limited,LICHSGFIN,P&F | F.A,-1%,386.3,"17,30,143"
99,HDFC Asset Management Company Ltd,HDFCAMC,P&F | F.A,-1%,1915.5,"1,80,990"
113,Grasim Industries Limited,GRASIM,P&F | F.A,-1%,1578.45,"9,11,880"
439,Firstsource Solutions Limited,FSL,P&F | F.A,-1%,103.45,"17,79,091"
252,Syngene International Limited,SYNGENE,P&F | F.A,-1%,566.4,"2,33,942"
149,Indigo Paints Ltd,INDIGOPNTS,P&F | F.A,-1%,1212.95,"26,731"
238,Just Dial Limited,JUSTDIAL,P&F | F.A,-1%,617.65,"1,69,786"
50,Oracle Financial Services Software Limited,OFSS,P&F | F.A,-1%,3051.55,"43,453"
69,Alkyl Amines Chemicals Limited,ALKYLAMINE,P&F | F.A,-1%,2607.2,"18,742"
145,Shriram Finance Ltd,SHRIRAMFIN,P&F | F.A,-1%,1241.05,"4,82,105"
410,Finolex Industries Limited,FINPIPE,P&F | F.A,-1%,165.05,"4,31,388"
80,Pidilite Industries Limited,PIDILITIND,P&F | F.A,-1%,2290.65,"4,45,082"
77,Titan Company Limited,TITAN,P&F | F.A,-1%,2331.25,"12,38,620"
134,The Phoenix Mills Limited,PHOENIXLTD,P&F | F.A,-1%,1356.65,"1,81,513"
314,PB Fintech Ltd,POLICYBZR,P&F | F.A,-1.1%,401.5,"9,17,475"
5,Shree Cements Limited,SHREECEM,P&F | F.A,-1%,21901.2,"52,018"
26,Maharashtra Scooters Limited,MAHSCOOTER,P&F | F.A,-1%,4446.1,"3,902"
146,Blue Star Limited,BLUESTARCO,P&F | F.A,-1%,1235.05,"32,325"
30,Skf India Limited,SKFINDIA,P&F | F.A,-1%,4316,"16,474"
347,Praj Industries Limited,PRAJIND,P&F | F.A,-1%,333.95,"4,08,556"
477,Nhpc Limited,NHPC,P&F | F.A,-1%,43.2,"2,30,94,255"
35,Esab India Limited,ESABINDIA,P&F | F.A,-1%,4049.85,"13,728"
220,Cholamandalam Investment And Finance Company Limited,CHOLAFIN,P&F | F.A,-1%,709.9,"18,07,271"
117,GMM Pfaudler Ltd,GMMPFAUDLR,P&F | F.A,-1%,1541.9,"1,29,167"
395,Aster DM Healthcare Ltd,ASTERDM,P&F | F.A,-1%,212.4,"1,59,581"
247,Jindal Steel & Power Limited,JINDALSTEL,P&F | F.A,-1%,588.15,"20,95,603"
275,Uno Minda Ltd,UNOMINDA,P&F | F.A,-1%,498.4,"6,82,075"
152,Ajanta Pharma Limited,AJANTPHARM,P&F | F.A,-1%,1184.35,"32,799"
328,Elgi Equipments Limited,ELGIEQUIP,P&F | F.A,-1%,365.8,"2,38,982"
131,Whirlpool Of India Limited,WHIRLPOOL,P&F | F.A,-1%,1392.4,"1,04,605"
70,Schaeffler India Ltd,SCHAEFFLER,P&F | F.A,-1%,2606.85,"74,688"
118,Torrent Pharmaceuticals Limited,TORNTPHARM,P&F | F.A,-1%,1537.4,"2,44,424"
55,Siemens Limited,SIEMENS,P&F | F.A,-1%,2957.9,"1,65,510"
355,Shyam Metalics & Energy Ltd,SHYAMMETL,P&F | F.A,-1%,302.95,"1,04,432"
193,Ipca Laboratories Limited,IPCALAB,P&F | F.A,-1%,851.5,"2,52,075"
173,Central Depository Services Ltd,CDSL,P&F | F.A,-1%,1014.9,"4,17,675"
158,Apl Apollo Tubes Limited,APLAPOLLO,P&F | F.A,-1.3%,1139.25,"2,78,217"
287,Tamilnad Mercantile Bank Ltd,TMB,P&F | F.A,-1.3%,472.75,"49,734"
358,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,P&F | F.A,-1%,291.8,"11,29,141"
223,KPIT Technologies Ltd,KPITTECH,P&F | F.A,-1%,697.4,"9,86,918"
258,Alembic Pharmaceuticals Limited,APLLTD,P&F | F.A,-1%,538.6,"58,259"
264,Aarti Industries Limited,AARTIIND,P&F | F.A,-1%,525.75,"6,54,029"
48,Eicher Motors Limited,EICHERMOT,P&F | F.A,-1%,3169.75,"6,27,913"
106,Tci Express Limited,TCIEXP,P&F | F.A,-1%,1771.9,"12,294"
129,Krishna Institute of Medical Sciences Ltd,KIMS,P&F | F.A,-1%,1434.95,"17,236"
59,Polycab India Ltd,POLYCAB,P&F | F.A,-1%,2777.3,"2,70,275"
490,Ujjivan Small Finance Bank Ltd,UJJIVANSFB,P&F | F.A,-1%,27.5,"1,30,04,143"
405,Redington (india) Limited,REDINGTON,P&F | F.A,-1%,177.7,"31,73,130"
430,Castrol India Limited,CASTROLIND,P&F | F.A,-1%,119.45,"5,40,614"
459,Motherson Sumi Systems Limited,MOTHERSON,P&F | F.A,-1%,71.6,"1,29,33,536"
1,Mrf Limited,MRF,P&F | F.A,-1%,88261.1,"9,731"
232,Container Corporation Of India Limited,CONCOR,P&F | F.A,-1%,640.1,"31,13,086"
442,Iti Limited,ITI,P&F | F.A,-1%,100.5,"1,86,123"
209,Voltas Limited,VOLTAS,P&F | F.A,-2%,744.95,"14,74,004"
400,Sun Pharma Advanced Research Company Limited,SPARC,P&F | F.A,-2%,196.4,"1,74,400"
484,Trident Limited,TRIDENT,P&F | F.A,-2%,32.05,"40,28,723"
119,Infosys Limited,INFY,P&F | F.A,-2%,1519.15,"62,09,955"
352,Pnc Infratech Limited,PNCINFRA,P&F | F.A,-2%,311.05,"3,61,168"
225,Gujarat Alkalies And Chemicals Limited,GUJALKALI,P&F | F.A,-2%,683.85,"74,978"
263,Jbm Auto Limited,JBMA,P&F | F.A,-2%,525.9,"2,19,166"
226,Motilal Oswal Financial Services Limited,MOTILALOFS,P&F | F.A,-2%,681.1,"96,999"
286,Cochin Shipyard,COCHINSHIP,P&F | F.A,-2%,474.95,"5,95,183"
316,Jindal Worldwide Limited,JINDWORLD,P&F | F.A,-2%,400.55,"80,734"
391,Coal India Limited,COALINDIA,P&F | F.A,-2%,222.4,"61,71,667"
475,Zomato Ltd,ZOMATO,P&F | F.A,-2%,46.95,"16,97,88,452"
257,Berger Paints (i) Limited,BERGEPAINT,P&F | F.A,-2%,539.5,"6,16,557"
449,Idfc Limited,IDFC,P&F | F.A,-2%,81.6,"1,26,11,270"
360,Birlasoft Ltd,BSOFT,P&F | F.A,-2%,290.9,"15,68,159"
362,The Indian Hotels Company Limited,INDHOTEL,P&F | F.A,-2%,286.45,"27,07,115"
443,Gail (india) Limited,GAIL,P&F | F.A,-2%,99.15,"1,30,64,056"
481,Sjvn Limited,SJVN,P&F | F.A,-2%,33.9,"45,23,843"
61,Hero Motocorp Limited,HEROMOTOCO,P&F | F.A,-2%,2736.15,"4,64,092"
130,Eclerx Services Limited,ECLERX,P&F | F.A,-2%,1406.85,"36,543"
458,Cesc Limited,CESC,P&F | F.A,-2%,72.5,"12,22,389"
364,Granules India Limited,GRANULES,P&F | F.A,-2%,283.8,"13,76,711"
200,Piramal Enterprises Limited,PEL,P&F | F.A,-2%,809.8,"6,36,690"
66,Housing Development Finance Corporation Limited,HDFC,P&F | F.A,-2%,2661.5,"41,53,948"
389,Mahindra & Mahindra Financial Services Limited,M&MFIN,P&F | F.A,-2%,225.5,"17,50,331"
194,Mahanagar Gas Limited,MGL,P&F | F.A,-2%,850.7,"2,08,102"
450,Indian Oil Corporation Limited,IOC,P&F | F.A,-2%,81,"1,08,38,959"
197,Max Financial Services Limited,MFSL,P&F | F.A,-2%,838.2,"16,28,331"
326,Security & Intelligence Services India,SIS,P&F | F.A,-2%,370.75,"4,20,642"
185,Aether Industries Ltd,AETHER,P&F | F.A,-2%,877.5,"29,059"
116,United Breweries Limited,UBL,P&F | F.A,-2%,1542.7,"1,96,453"
195,Happiest Minds Technologies Ltd,HAPPSTMNDS,P&F | F.A,-2%,846.65,"2,07,333"
437,Restaurant Brands Asia Ltd,RBA,P&F | F.A,-2%,110.5,"8,72,909"
63,Asian Paints Limited,ASIANPAINT,P&F | F.A,-2%,2722.65,"18,01,498"
212,UTI Asset Management Company Ltd,UTIAMC,P&F | F.A,-2%,738.2,"45,815"
336,Chalet Hotels Ltd,CHALET,P&F | F.A,-2%,350.7,"2,58,488"
76,Reliance Industries Limited,RELIANCE,P&F | F.A,-1.9%,2337.35,"1,19,20,991"
